stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,platform_code
3130,3130,Bailey Avenue Minnesota Avenue Sout,42.946084,-78.813781,0,
3150,3150,Bailey Avenue Northland Avenue Sout,42.918988,-78.813783,0,
3160,3160,Bailey Avenue Oakmont Avenue North,42.932296,-78.813563,0,
3170,3170,Bailey Avenue Oakmont Avenue South ,42.932181,-78.813766,0,
3180,3180,Bailey Avenue Peru Place North,42.87635,-78.816702,0,
3190,3190,Bailey Avenue Peru Place South,42.876669,-78.817151,0,
3200,3200,Bailey Avenue Proctor Avenue North,42.926679,-78.813569,0,
3210,3210,Bailey Avenue Pullman Place North O,42.899049,-78.813835,0,
3220,3220,Bailey Avenue Pullman Place South,42.899101,-78.813964,0,
3223,3223,Bailey Ave Ridge Lea Rd North,43.000025,-78.81459,0,
3225,3225,Bailey Avenue Ridge Lea Rd South Fa,42.99949,-78.814738,0,
3230,3230,Bailey Avenue Rohe Street North,42.907298,-78.813661,0,
3240,3240,Bailey Avenue Roosevelt Avenue Nort,42.933765,-78.813553,0,
3250,3250,Bailey Avenue Rounds Avenue North,42.947343,-78.813587,0,
3260,3260,Bailey Avenue Lisbon Avenue South,42.947028,-78.813784,0,
3270,3270,Bailey Avenue Scajaquada Street Sou,42.917453,-78.813784,0,
3280,3280,Bailey Avenue Scheu Place North Far,42.903076,-78.813729,0,
3290,3290,Bailey Avenue Scheu Place South,42.902962,-78.813923,0,
3300,3300,Bailey Avenue Seneca Street North,42.866348,-78.824004,0,
3310,3310,Bailey Avenue Seneca Street South,42.866954,-78.823869,0,
3330,3330,Bailey Avenue Shirley Avenue South,42.94437,-78.813788,0,
3340,3340,Bailey Avenue Stanley Street North,42.892078,-78.814041,0,
3350,3350,Bailey Avenue 1348 Bailey Avenue So,42.891005,-78.814225,0,
3355,3355,North Bailey Ave. Park Circle North,42.962905,-78.813776,0,
3360,3360,Bailey Avenue Stockbridge Avenue No,42.941859,-78.813556,0,
3370,3370,Bailey Avenue Veterans Hospital Nor,42.950843,-78.813611,0,
3380,3380,Bailey Avenue Veterans Hospital Sou,42.951668,-78.81389,0,
3390,3390,Bailey Avenue Walden Avenue North F,42.905035,-78.813714,0,
3400,3400,Bailey Avenue Walden Avenue South,42.905001,-78.813809,0,
3410,3410,Bailey Avenue Wecker Street North,42.920675,-78.813598,0,
3420,3420,Bailey Avenue Wecker Street South,42.920872,-78.813776,0,
3430,3430,Bailey Avenue Weston Avenue North,42.92816,-78.813572,0,
3440,3440,Bailey Avenue William Street South,42.884979,-78.814367,0,
3450,3450,Bailey Avenue William Street North ,42.885482,-78.814159,0,
3460,3460,Bailey Avenue Winspear Avenue North,42.948701,-78.813595,0,
3470,3470,Bailey Avenue Winspear Avenue South,42.948617,-78.813799,0,
3820,3820,Beach Road North Main Street East,42.650025,-79.033697,0,
3825,3825,Beach Road North Main Street West F,42.650173,-79.034082,0,
3840,3840,Beach Road Route 5 East Farside,42.649956,-79.040236,0,
3850,3850,Beach Road Route 5 West,42.650163,-79.040465,0,
3860,3860,Berkshire Avenue Amherst Street Wes,42.940264,-78.822797,0,
3870,3870,Berkshire Avenue Bailey Avenue West,42.941003,-78.814009,0,
3890,3890,Berkshire Avenue Comstock Avenue We,42.940957,-78.817266,0,
3900,3900,Berkshire Avenue Parkridge Avenue W,42.940908,-78.821373,0,
3930,3930,Best Street Ellicott Street East,42.90392,-78.866304,0,
3940,3940,Best Street Ellicott Street West,42.904044,-78.865946,0,
3950,3950,Best Street Fillmore Avenue East,42.903617,-78.83957,0,
3960,3960,Best Street Fillmore Avenue West,42.903734,-78.839125,0,
3970,3970,Best Street Genesee Street East,42.903589,-78.836918,0,
4000,4000,Best Street Herman Street East,42.903625,-78.844911,0,
4020,4020,Best Street Jefferson Avenue East,42.903787,-78.854197,0,
4030,4030,Best Street Jefferson Avenue West,42.903913,-78.853783,0,
4040,4040,Broadway Brownell Street East,42.896038,-78.820393,0,
4060,4060,Best Street Main Street East Farsid,42.904571,-78.868099,0,
4070,4070,Best Street Main Street West,42.904612,-78.868024,0,
4080,4080,Best Street Masten Avenue East,42.903898,-78.859923,0,
4090,4090,Best Street Masten Avenue West,42.903957,-78.859542,0,
4100,4100,Best Street Michigan Avenue East,42.903898,-78.862842,0,
4110,4110,Best Street Michigan Avenue West,42.904018,-78.86239,0,
4120,4120,Best Street Peach Street West Oppos,42.903918,-78.856001,0,
4125,4125,Best Street Peach Street East,42.903839,-78.85638,0,
4130,4130,Best Street Pershing Avenue East,42.903798,-78.85167,0,
4140,4140,Best Street Pershing Avenue West Op,42.903868,-78.851301,0,
4150,4150,Best Street Sherman Street East,42.903739,-78.847292,0,
4160,4160,Best Street Sweeney Street East,42.903679,-78.841752,0,
4170,4170,Best Street Sweeney Street West Opp,42.903714,-78.84128,0,
4210,4210,Best Street Wohlers Avenue West,42.903828,-78.847924,0,
4220,4220,Best Street West Parade Avenue West,42.903778,-78.844263,0,
4271,4271,Big Tree Rd Orchard Park P and R We,42.763607,-78.762089,0,
4350,4350,Borden Road Broadway North,42.901338,-78.706582,0,
4360,4360,Borden Road Broadway South Farside,42.901362,-78.706696,0,
4420,4420,Borden Road Rowley Avenue West,42.898068,-78.70848,0,
4690,4690,Broad Street Delaware Street West F,43.019289,-78.875883,0,
4770,4770,Broad Street Main Street West Farsi,43.01873,-78.878773,0,
4810,4810,Broadway 1264 Broadway West,42.895225,-78.82748,0,
4845,4845,Broadway 4400 Broadway West Opposit,42.903149,-78.711496,0,
4870,4870,Broadway A Street West,42.901629,-78.706331,0,
4880,4880,Broadway Adams Street East,42.890341,-78.851141,0,
4890,4890,Broadway Adams Street West,42.890637,-78.850723,0,
4950,4950,Broadway Armbruster Street East,42.896479,-78.816952,0,
4970,4970,Broadway Aurora Street West Farside,42.89981,-78.674343,0,
4980,4980,Broadway Bailey Avenue East Farside,42.89691,-78.813511,0,
4985,4985,Broadway Bailey Ave East,42.896802,-78.814106,0,
4990,4990,Broadway Bailey Avenue West Farside,42.896947,-78.814522,0,
5040,5040,Broadway Borden Road East,42.901473,-78.706744,0,
5123,5123,Broadway Canton Street East,42.901768,-78.700322,0,
5140,5140,Broadway Cedar Street East,42.88789,-78.862301,0,
5230,5230,Broadway Coit Street East,42.891775,-78.844423,0,
5250,5250,Broadway D&L Plaza East,42.901359,-78.684458,0,
5260,5260,Broadway D&L Plaza West,42.901408,-78.683621,0,
5265,5265,Broadway Davey Street East Opposite,42.897599,-78.804013,0,
5270,5270,Broadway Dick Road West,42.905267,-78.727612,0,
5273,5273,Broadway Dick Road East Farside,42.905177,-78.727592,0,
5310,5310,Broadway Emslie Street East,42.890757,-78.849122,0,
5320,5320,Broadway Fillmore Avenue East Farsi,42.892947,-78.83908,0,
5330,5330,Broadway Fillmore Avenue West,42.893114,-78.839016,0,
5380,5380,Broadway Greene Street East,42.897308,-78.810371,0,
5420,5420,broadway st griffith st east,42.899552,-78.791986,0,
5425,5425,broadway st griffith st west,42.899759,-78.791793,0,
5450,5450,Broadway Herman Street West,42.892068,-78.84409,0,
5460,5460,Broadway Hickory Street East,42.888369,-78.859893,0,
5470,5470,Broadway Hirschbeck Street West,42.896668,-78.816819,0,
5490,5490,broadway st jackson ave east,42.900181,-78.786518,0,
5495,5495,Broadway Francis Avenue Opposite,42.900276,-78.787516,0,
5510,5510,Broadway Jefferson Avenue East,42.889673,-78.854138,0,
5520,5520,Broadway Jefferson Avenue West,42.889892,-78.853799,0,
5530,5530,Broadway Johnson Street West Opposi,42.891035,-78.848798,0,
5537,5537,Broadway Lombard St West Opposite,42.893575,-78.837055,0,
5540,5540,Broadway Krupp Avenue East,42.895579,-78.82381,0,
5580,5580,Broadway Lathrop Street West Farsid,42.894805,-78.830207,0,
5590,5590,Broadway Lombard Street East,42.893315,-78.837359,0,
5620,5620,Broadway Memorial Drive East,42.894636,-78.830056,0,
5640,5640,Broadway Michael Loop East,42.899162,-78.795103,0,
5650,5650,Broadway Michael Loop West Opposite,42.89936,-78.79507,0,
5660,5660,Broadway Michigan Avenue East,42.88672,-78.867652,0,
5670,5670,Broadway Michigan Avenue West,42.88704,-78.867101,0,
5690,5690,Broadway Mohr Avenue East,42.89507,-78.827432,0,
5700,5700,Broadway Mortimer Street East,42.889169,-78.856013,0,
5710,5710,Broadway Mortimer Street West Farsi,42.88944,-78.855795,0,
5720,5720,Broadway North Ogden Street East Fa,42.898328,-78.80199,0,
5725,5725,Broadway Norris Avenue West Opposit,42.900749,-78.679699,0,
5730,5730,Broadway North Ogden Street West Op,42.898411,-78.802298,0,
5790,5790,Broadway Penora Street West,42.90158,-78.687301,0,
5810,5810,Broadway Pine Street West,42.887668,-78.864231,0,
5820,5820,Broadway Pratt Street West,42.888979,-78.858233,0,
5830,5830,Broadway Quincy Street East,42.895778,-78.822422,0,
5855,5855,Broadway River Street West,42.901866,-78.701078,0,
5864,5864,broadway st roland st east,42.899884,-78.789342,0,
5866,5866,Broadway Currier Avenue Opposite,42.899957,-78.790193,0,
5880,5880,Broadway Pine Street East,42.887408,-78.864611,0,
5940,5940,Broadway Spring Street East,42.888889,-78.857571,0,
5950,5950,Broadway Stanton Street East,42.891399,-78.846202,0,
5960,5960,Broadway Strauss Street West,42.892719,-78.840988,0,
5970,5970,Broadway ST. John Street East,42.900308,-78.677893,0,
5980,5980,Broadway Sweet Street West,42.894298,-78.833353,0,
5990,5990,Broadway South Bryant Street East,42.90165,-78.70323,0,
6010,6010,Broadway Tops West,42.897678,-78.809061,0,
